DBN,Borough,District,school_name,Grad_Rate,Rigorous_Instr,Collaborative,Supportive,Leadership,FamilyComm,Trust,Student_Resp,Parent_Resp
03M860,Manhattan,3,Frederick Douglass Academy II Secondary School,88.1,66,75,68,75,84,75,65,20
04M372,Manhattan,4,Esperanza Preparatory Academy,94,70,80,70,81,83,80,92,40
04M435,Manhattan,4,Manhattan Center for Science and Mathematics,99.5,91,98,88,97,83,95,75,79
04M495,Manhattan,4,Park East High School,100,81,84,81,85,88,89,85,47
04M555,Manhattan,4,Central Park East High School,100,82,87,81,85,87,90,96,48
04M680,Manhattan,4,"Heritage School, The",83.1,58,76,69,74,87,84,89,70
05M148,Manhattan,5,Eagle Academy for Young Men of Harlem,88.5,62,73,69,77,79,78,69,34
05M157,Manhattan,5,The Urban Assembly School for Global Commerce,69.8,71,76,77,80,87,87,84,92
05M304,Manhattan,5,Mott Hall High School,89.1,69,83,74,84,83,88,62,31
05M362,Manhattan,5,Columbia Secondary School,100,80,68,70,67,84,76,10,19
05M369,Manhattan,5,Urban Assembly School for the Performing Arts,82.9,74,65,66,61,81,77,72,3
05M499,Manhattan,5,Frederick Douglass Academy,76.5,71,83,69,78,78,81,74,30
05M670,Manhattan,5,Thurgood Marshall Academy for Learning and Social Change,86.7,76,78,70,84,83,81,63,28
05M692,Manhattan,5,"High School for Mathematics, Science and Engineering at City College",100,83,89,84,90,84,92,75,31
06M211,Manhattan,6,Inwood Early College for Health and Information Technologies,85.6,72,73,78,76,93,86,46,19
06M293,Manhattan,6,City College Academy of the Arts,95.2,72,74,76,64,91,85,87,30
06M346,Manhattan,6,Community Health Academy of the Heights,88.6,84,90,82,92,98,92,74,79
06M348,Manhattan,6,Washington Heights Expeditionary Learning School,91.8,74,78,79,77,92,87,67,23
06M462,Manhattan,6,The College Academy,91.4,85,95,77,95,89,89,79,72
06M463,Manhattan,6,High School for Media and Communications,90.5,84,96,76,93,92,90,61,89
06M467,Manhattan,6,High School for Law and Public Service,82.2,78,76,78,75,97,84,48,89
06M468,Manhattan,6,High School for Health Careers and Sciences,79.5,79,82,73,83,95,87,98,93
06M540,Manhattan,6,A. Philip Randolph Campus High School,77.5,75,80,70,78,78,82,33,18
06M552,Manhattan,6,Gregorio Luperon High School for Science and Mathematics,98.6,85,86,84,89,91,91,81,83
07X221,Bronx,7,South Bronx Preparatory: A College Board School,96.6,76,82,73,82,82,83,92,56
07X223,Bronx,7,The Laboratory School of Finance and Technology: X223,90.9,78,85,78,83,91,90,94,29
07X259,Bronx,7,"H.E.R.O. High (Health, Education, and Research Occupations High School)",81.4,72,86,71,86,90,85,44,16
07X334,Bronx,7,International Community High School,81.5,80,85,79,86,90,88,78,21
07X427,Bronx,7,Community School for Social Justice,77.6,79,97,85,95,83,93,76,34
07X473,Bronx,7,Mott Haven Village Preparatory High School,68.4,77,75,79,70,89,86,74,39
07X495,Bronx,7,University Heights Secondary School,100,88,98,85,96,98,95,68,52
07X500,Bronx,7,Hostos-Lincoln Academy of Science,94.9,78,86,77,86,89,88,72,21
07X522,Bronx,7,Bronx Design and Construction Academy,70.5,75,85,72,80,86,85,89,24
07X527,Bronx,7,Bronx Leadership Academy II High School,80.6,73,76,76,81,82,87,90,92
07X548,Bronx,7,Careers in Sports High School,69.5,76,81,76,87,83,87,64,6
07X551,Bronx,7,The Urban Assembly Bronx Academy of Letters,73.4,69,66,66,68,85,76,45,6
07X600,Bronx,7,Alfred E. Smith Career and Technical Education High School,90.7,77,83,71,81,85,81,66,21
07X670,Bronx,7,Health Opportunities High School,74.2,63,66,77,68,92,81,71,69
08X269,Bronx,8,Bronx Studio School for Writers and Artists,87.9,68,74,67,73,86,80,84,11
08X282,Bronx,8,Women's Academy of Excellence,84.2,65,93,72,86,79,85,80,32
08X293,Bronx,8,Renaissance High School for Musical Theater and the Arts,89.7,76,94,78,90,84,91,94,33
08X312,Bronx,8,Millennium Art Academy,84.7,76,85,72,85,85,85,89,34
08X320,Bronx,8,Pelham Lab High School,83.3,66,82,68,78,87,85,94,23
08X348,Bronx,8,Schuylerville Preparatory High School,80,64,72,65,70,81,79,67,11
08X349,Bronx,8,Bronx River High School,100,77,82,74,87,84,82,58,26
08X367,Bronx,8,"Archimedes Academy for Math, Science and Technology Applications",70.7,69,67,69,73,80,79,7,23
08X376,Bronx,8,Antonia Pantoja Preparatory Academy: A College Board School,81,69,91,67,90,89,87,96,85
08X405,Bronx,8,Herbert H. Lehman High School,80.5,73,83,69,75,83,83,75,22
08X432,Bronx,8,Bronx Bridges High School,81.7,81,90,78,82,95,87,96,52
08X452,Bronx,8,Gotham Collaborative High School,77.9,76,93,74,92,92,90,79,63
08X530,Bronx,8,Longwood Preparatory Academy,89.3,77,86,77,89,95,90,78,45
08X558,Bronx,8,Westchester Square Academy,91.2,68,76,68,77,82,83,72,16
08X561,Bronx,8,Bronx Compass High School,76.7,71,76,71,77,86,85,87,81
09X227,Bronx,9,Bronx Collegiate Academy,87,87,95,83,95,82,92,77,59
09X231,Bronx,9,Eagle Academy for Young Men,92.6,76,84,69,86,87,82,64,10
09X241,Bronx,9,"Urban Assembly School for Applied Math and Science, The",85.4,70,74,71,76,90,84,71,40
09X250,Bronx,9,Eximius College Preparatory Academy: A College Board School,93.7,78,93,79,90,81,90,54,39
09X252,Bronx,9,Mott Hall Bronx High School,90.3,78,76,76,78,85,84,48,19
09X260,Bronx,9,Bronx Center for Science and Mathematics,95.7,75,76,76,74,82,87,69,44
09X263,Bronx,9,Validus Preparatory Academy,74.3,66,60,75,59,87,78,45,41
09X297,Bronx,9,Morris Academy for Collaborative Studies,87.5,80,89,78,88,86,89,83,19
09X324,Bronx,9,Bronx Early College Academy for Teaching & Learning,95.2,75,82,71,76,90,85,94,37
09X327,Bronx,9,Comprehensive Model School Project M.S. 327,87.5,81,90,78,89,90,90,27,16
09X329,Bronx,9,DreamYard Preparatory School,91.4,81,92,77,92,93,89,65,52
09X365,Bronx,9,Academy for Language and Technology,97.5,94,92,96,92,97,96,93,94
09X403,Bronx,9,Bronx International High School,91.5,78,80,81,69,86,81,22,7
09X404,Bronx,9,School for Excellence,50,57,54,68,50,78,71,55,93
09X412,Bronx,9,Bronx High School of Business,78.1,71,79,72,83,83,83,85,15
09X413,Bronx,9,Bronx High School for Medical Science,89.6,71,85,67,85,88,83,96,19
09X505,Bronx,9,"Bronx School for Law, Government and Justice",85,70,74,68,73,86,82,63,14
09X517,Bronx,9,Frederick Douglass Academy III Secondary School,88.9,77,81,79,83,89,90,87,33
09X525,Bronx,9,Bronx Leadership Academy High School,92.6,70,81,65,83,82,78,71,23
09X543,Bronx,9,High School for Violin and Dance,73.8,62,73,72,76,79,82,80,54
09X564,Bronx,9,Claremont International HS,91.8,82,94,81,90,89,91,58,53
09X568,Bronx,9,Young Women's Leadership School of the Bronx,96,75,86,69,83,88,86,75,75
10X141,Bronx,10,Riverdale / Kingsbridge Academy (Middle School / High School 141),93,74,87,66,82,85,82,73,26
10X213,Bronx,10,Bronx Engineering and Technology Academy,90.7,85,94,82,96,85,92,51,41
10X225,Bronx,10,Theatre Arts Production Company School,78.8,71,78,67,76,86,82,91,30
10X237,Bronx,10,"The Marie Curie School for Medicine, Nursing, and Health Professions",81.8,69,76,73,76,83,85,76,29
10X243,Bronx,10,West Bronx Academy for the Future,98.5,68,74,68,73,88,84,71,49
10X264,Bronx,10,Bronx Academy for Software Engineering (BASE),91.7,79,81,77,82,88,90,60,13
10X268,Bronx,10,Kingsbridge International High School,65.9,75,85,75,89,87,88,95,71
10X284,Bronx,10,Bronx School of Law and Finance,87.9,78,90,75,90,93,90,72,41
10X342,Bronx,10,International School for Liberal Arts,76.1,79,80,74,86,91,87,95,73
10X351,Bronx,10,Bronx Collaborative High School,77.4,63,69,70,74,76,80,26,2
10X353,Bronx,10,World View High School,95.5,79,78,79,79,90,85,68,24
10X368,Bronx,10,In-Tech Academy (M.S. / High School 368),90.8,72,71,68,68,84,79,89,32
10X374,Bronx,10,Knowledge and Power Preparatory Academy International High School (Kappa),92.4,76,84,79,85,88,89,97,90
10X433,Bronx,10,High School for Teaching and the Professions,95.8,81,95,78,94,88,91,62,42
10X434,Bronx,10,Belmont Preparatory High School,97.7,77,91,74,90,81,87,75,47
10X437,Bronx,10,Fordham High School for the Arts,100,84,88,83,90,84,90,100,87
10X438,Bronx,10,Fordham Leadership Academy,100,71,76,73,76,91,83,73,63
10X439,Bronx,10,Bronx High School for Law and Community Service,94.9,80,92,80,92,85,92,90,14
10X440,Bronx,10,DeWitt Clinton High School,96.6,69,69,70,71,81,78,54,8
10X442,Bronx,10,"Celia Cruz Bronx High School of Music, The",100,84,87,75,85,88,85,75,43
10X445,Bronx,10,The Bronx High School of Science,99.2,85,88,79,88,83,92,88,31
10X477,Bronx,10,Marble Hill High School for International Studies,99,75,79,78,80,88,90,83,32
10X524,Bronx,10,Crotona International High School,94.7,70,77,74,81,93,83,86,90
10X546,Bronx,10,Bronx Theatre High School,98.6,82,94,74,93,88,88,64,33
10X549,Bronx,10,Discovery High School,96.3,74,89,74,90,82,88,95,53
10X565,Bronx,10,High School for Energy and Technology,90.9,71,80,67,83,96,79,71,65
10X696,Bronx,10,High School of American Studies at Lehman College,98.9,85,82,79,83,83,90,89,48
11X249,Bronx,11,Bronx Health Sciences High School,100,71,84,63,81,69,72,58,28
11X253,Bronx,11,Bronx High School for Writing and Communication Arts,76,69,89,72,88,98,90,64,74
11X265,Bronx,11,Bronx Lab School,88.4,92,98,90,97,94,95,63,27
11X270,Bronx,11,Academy for Scholarship and Entrepreneurship: A College Board School,81.2,75,88,75,86,95,87,66,65
11X275,Bronx,11,High School of Computers and Technology,85.5,78,91,73,92,85,89,78,40
11X288,Bronx,11,Collegiate Institute for Math and Science,90.8,73,77,70,79,85,79,96,44
11X290,Bronx,11,Bronx Academy of Health Careers,82.7,77,92,74,89,90,86,84,59
11X299,Bronx,11,Astor Collegiate Academy,88.1,72,82,74,81,84,86,58,14
11X418,Bronx,11,Bronx High School for the Visual Arts,84.8,74,80,78,76,87,87,77,14
11X455,Bronx,11,Harry S Truman High School,82,72,75,69,75,84,82,59,15
11X508,Bronx,11,Bronxdale High School,90.5,84,95,84,91,87,93,79,64
11X509,Bronx,11,High School of Language and Innovation,87.6,73,77,73,80,81,80,97,72
11X513,Bronx,11,New World High School,91.5,82,76,80,71,90,82,94,66
11X514,Bronx,11,The Bronxwood Preparatory Academy,89.9,71,78,75,77,91,83,97,41
11X542,Bronx,11,Pelham Preparatory Academy,93.6,79,87,76,75,85,84,96,26
11X544,Bronx,11,High School for Contemporary Arts,89.4,74,82,70,82,79,78,72,22
11X545,Bronx,11,Bronx Aerospace High School,88.9,73,74,76,70,86,78,96,84
12X242,Bronx,12,Mott Hall V,95.1,73,78,78,77,83,85,86,60
12X248,Bronx,12,"Metropolitan High School, The",76.9,60,62,65,63,80,75,79,18
12X251,Bronx,12,Explorations Academy H.S.,75.3,70,79,78,81,91,87,85,82
12X267,Bronx,12,Bronx Latin,96.8,75,83,74,80,91,84,76,47
12X271,Bronx,12,East Bronx Academy for the Future,90.5,77,89,74,91,87,87,39,30
12X388,Bronx,12,Pan American International High School at Monroe,93.2,85,97,87,92,93,95,95,94
