DBN,Borough,District,school_name,Grad_Rate,Rigorous_Instr,Collaborative,Supportive,Leadership,FamilyComm,Trust,Student_Resp,Parent_Resp
18K566,Brooklyn,18,Brooklyn Community High School for Excellence and Equity,88.1,69,80,76,71,87,78,65,12
18K567,Brooklyn,18,Brooklyn Theatre Arts High School,80,65,67,66,64,81,75,93,25
18K569,Brooklyn,18,Kurt Hahn Expeditionary Learning School,73.8,65,81,72,83,97,83,70,2
18K576,Brooklyn,18,Victory Collegiate High School,90.6,65,67,74,77,87,85,47,56
18K617,Brooklyn,18,High School for Innovation in Advertising and Media,90.7,79,78,83,73,95,92,85,80
18K629,Brooklyn,18,Cultural Academy for the Arts and Sciences,87.2,61,75,74,81,89,86,56,31
18K633,Brooklyn,18,High School for Medical Professions,85,74,84,73,83,82,83,59,34
18K637,Brooklyn,18,Academy for Conservation and the Environment,95.5,82,94,77,93,94,91,91,57
18K642,Brooklyn,18,Urban Action Academy,71.7,66,81,72,82,87,83,67,46
19K404,Brooklyn,19,Academy for Young Writers,94.9,71,77,67,85,87,82,77,21
19K409,Brooklyn,19,East New York Family Academy,95,72,87,70,86,88,85,27,19
19K422,Brooklyn,19,Spring Creek Community School,84.1,65,59,60,63,86,74,60,8
19K502,Brooklyn,19,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,92.1,77,85,79,82,81,88,45,24
19K504,Brooklyn,19,High School for Civil Rights,79.3,62,83,70,81,83,79,80,36
19K507,Brooklyn,19,Performing Arts and Technology High School,98.5,81,91,80,89,89,91,92,17
19K510,Brooklyn,19,World Academy for Total Community Health High School,78,62,73,75,75,84,83,75,61
19K583,Brooklyn,19,Multicultural High School,91.5,77,77,75,72,88,80,94,50
19K615,Brooklyn,19,Transit Tech Career and Technical Education High School,86.2,75,83,67,80,87,82,55,15
19K618,Brooklyn,19,Academy of Innovative Technology,94.1,76,79,76,81,87,88,79,30
19K639,Brooklyn,19,Brooklyn Lab School,99,79,88,77,89,88,89,73,26
19K659,Brooklyn,19,Cypress Hills Collegiate Preparatory School,98.9,72,76,76,82,89,84,96,39
19K660,Brooklyn,19,W. H. Maxwell Career and Technical Education High School,76.4,60,86,69,80,81,81,66,14
19K683,Brooklyn,19,School for Classics High School,82.4,69,79,75,77,89,83,42,12
19K764,Brooklyn,19,The Urban Assembly School for Collaborative Healthcare,92.3,74,77,75,73,85,83,95,29
19K953,Brooklyn,19,The East New York Arts and Civics High School,86.1,72,77,73,77,89,80,66,23
20K445,Brooklyn,20,New Utrecht High School,75.7,73,86,72,83,82,87,56,7
20K485,Brooklyn,20,High School of Telecommunication Arts and Technology,93,71,72,76,70,81,84,61,20
20K490,Brooklyn,20,Fort Hamilton High School,89.4,78,85,73,83,76,85,82,47
20K505,Brooklyn,20,Franklin Delano Roosevelt High School,76.8,72,73,76,69,81,82,66,16
20K609,Brooklyn,20,Urban Assembly School for Leadership and Empowerment,93.8,75,86,75,85,83,87,89,34
21K337,Brooklyn,21,International High School at Lafayette,77.9,80,86,83,80,88,89,61,38
21K344,Brooklyn,21,Rachel Carson High School for Coastal Studies,95,74,79,76,79,80,87,70,32
21K348,Brooklyn,21,High School of Sports Management,81,55,60,64,61,80,75,48,12
21K410,Brooklyn,21,Abraham Lincoln High School,89,78,86,76,86,78,86,76,12
21K468,Brooklyn,21,Kingsborough Early College School,98.1,81,94,73,94,87,88,76,14
21K525,Brooklyn,21,Edward R. Murrow High School,82.7,75,83,73,76,81,85,64,11
21K540,Brooklyn,21,John Dewey High School,80.8,74,83,74,82,79,87,59,33
21K559,Brooklyn,21,Life Academy High School for Film and Music,84.3,59,90,77,90,81,83,61,13
21K572,Brooklyn,21,Leaders High School,96.7,83,91,79,88,91,89,73,24
21K620,Brooklyn,21,William E. Grady Career and Technical Education High School,84.5,71,88,72,86,81,87,63,28
21K690,Brooklyn,21,Brooklyn Studio Secondary School,88,68,67,69,63,82,76,81,14
22K405,Brooklyn,22,Midwood High School,94.2,74,76,72,75,75,87,66,21
22K425,Brooklyn,22,James Madison High School,89.6,76,85,75,85,84,86,67,27
22K535,Brooklyn,22,Leon M. Goldstein High School for the Sciences,94.9,74,74,69,79,85,85,71,13
22K555,Brooklyn,22,Brooklyn College Academy,97.4,78,91,74,86,87,89,85,34
22K611,Brooklyn,22,Origins High School,89.1,73,83,71,79,85,82,53,16
23K493,Brooklyn,23,Brooklyn Collegiate: A College Board School,86.2,71,70,71,80,87,82,92,23
23K514,Brooklyn,23,Frederick Douglass Academy VII High School,93.5,64,85,74,89,89,84,92,84
23K644,Brooklyn,23,Eagle Academy for Young Men II,95.3,89,98,86,98,93,93,42,28
23K697,Brooklyn,23,Teachers Preparatory High School,70.6,71,80,64,70,87,78,59,24
24Q236,Queens,24,International High School for Health Sciences,75.6,77,85,82,82,89,89,83,82
24Q264,Queens,24,Academy of Finance and Enterprise,90.8,73,76,70,74,84,80,90,66
24Q267,Queens,24,High School of Applied Communication,83.3,72,79,71,77,82,84,73,18
24Q293,Queens,24,Civic Leadership Academy,92,72,75,80,67,82,84,98,69
24Q296,Queens,24,Pan American International High School,98.4,84,96,83,98,94,94,86,84
24Q299,Queens,24,Bard High School Early College Queens,98.6,84,76,72,79,84,89,54,17
24Q455,Queens,24,Newtown High School,75.1,74,85,74,82,80,88,52,20
24Q485,Queens,24,Grover Cleveland High School,84.8,73,82,74,78,82,83,55,20
24Q520,Queens,24,Middle College High School at LaGuardia Community College,86,83,80,83,78,82,87,58,12
24Q530,Queens,24,International High School at LaGuardia Community College,93.6,84,75,93,78,95,89,67,44
24Q550,Queens,24,High School for Arts and Business,97.3,81,90,80,87,88,90,78,63
24Q560,Queens,24,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",95.6,70,65,76,67,86,80,71,25
24Q585,Queens,24,Maspeth High School,96.4,73,89,77,84,84,90,98,15
24Q600,Queens,24,Queens Technical High School,85.5,74,73,77,72,81,84,94,17
24Q610,Queens,24,Aviation Career & Technical Education High School,97.6,78,83,76,82,79,85,77,39
25Q240,Queens,25,Veritas Academy,87.1,72,76,77,83,79,87,96,42
25Q241,Queens,25,Queens High School for Language Studies,95.1,83,87,85,92,87,94,81,78
25Q252,Queens,25,"Queens School of Inquiry, The",98.8,78,84,77,83,85,87,78,52
25Q263,Queens,25,Flushing International High School,88.8,85,94,85,91,87,93,85,61
25Q281,Queens,25,East-West School of International Studies,96.7,76,76,76,74,81,83,94,71
25Q285,Queens,25,World Journalism Preparatory: A College Board School,98.9,79,96,71,92,84,87,83,32
25Q425,Queens,25,John Bowne High School,81.1,72,82,71,78,81,84,58,9
25Q460,Queens,25,Flushing High School,86,74,80,73,81,82,86,75,37
25Q525,Queens,25,Townsend Harris High School,99.4,84,85,85,83,85,89,16,28
25Q670,Queens,25,Robert F. Kennedy Community High School,91.8,79,88,79,82,85,90,77,26
26Q315,Queens,26,Business Technology Early College High School,99.2,78,88,80,85,92,90,84,42
26Q415,Queens,26,Benjamin N. Cardozo High School,93.5,77,86,66,79,78,83,57,14
26Q430,Queens,26,Francis Lewis High School,92.9,79,86,73,81,82,87,62,9
26Q435,Queens,26,Martin Van Buren High School,83.8,68,69,70,69,82,78,73,29
26Q495,Queens,26,Bayside High School,99,76,81,72,77,82,86,86,31
26Q566,Queens,26,"Queens High School of Teaching, Liberal Arts and the Sciences",95.7,64,73,68,64,79,80,62,16
27Q260,Queens,27,Frederick Douglass Academy VI High School,75,69,77,69,73,82,77,93,33
27Q262,Queens,27,Channel View School for Research,97.1,72,75,70,76,83,78,64,54
27Q302,Queens,27,"Queens High School for Information, Research, and Technology",92.5,82,88,80,87,85,90,85,38
27Q308,Queens,27,Robert H. Goddard High School of Communication Arts and Technology,94.7,83,90,81,88,90,91,78,17
27Q309,Queens,27,Academy of Medical Technology: A College Board School,83.7,67,58,64,53,84,74,63,11
27Q314,Queens,27,Epic High School - South,81.3,73,66,73,60,89,78,54,9
27Q323,Queens,27,Scholars' Academy,98.7,79,71,75,72,89,81,95,64
27Q324,Queens,27,Rockaway Park High School for Environmental Sustainability,79.4,66,80,72,81,79,84,87,41
27Q334,Queens,27,Epic High School - North,95.6,64,70,75,71,83,81,75,9
27Q351,Queens,27,Rockaway Collegiate High School,81.8,66,89,72,81,80,82,54,10
27Q400,Queens,27,August Martin High School,90.8,74,81,68,81,89,80,63,15
27Q475,Queens,27,Richmond Hill High School,84.3,73,84,75,81,84,86,48,7
27Q480,Queens,27,John Adams High School,87.8,73,79,69,77,84,82,53,15
27Q650,Queens,27,"High School for Construction Trades, Engineering and Architecture",99.3,82,81,75,84,84,84,45,17
28Q167,Queens,28,Metropolitan Expeditionary Learning School,97.2,75,88,68,86,89,87,57,36
28Q284,Queens,28,York Early College Academy,100,81,85,71,85,89,85,77,63
28Q310,Queens,28,Queens Collegiate: A College Board School,90.7,68,70,62,74,83,78,65,21
28Q325,Queens,28,Hillside Arts & Letters Academy,92.5,83,96,81,93,85,91,66,42
28Q328,Queens,28,High School for Community Leadership,93.8,84,98,82,95,87,92,62,12
28Q350,Queens,28,Jamaica Gateway to the Sciences,95.7,77,71,74,70,78,79,48,22
28Q440,Queens,28,Forest Hills High School,93.3,80,77,77,75,85,88,13,14
28Q505,Queens,28,Hillcrest High School,84.2,70,74,70,68,84,79,57,49
28Q620,Queens,28,Thomas A. Edison Career and Technical Education High School,94.8,73,75,76,70,81,83,66,40
28Q680,Queens,28,Queens Gateway to Health Sciences Secondary School,96.8,78,71,69,67,81,77,75,20
28Q686,Queens,28,Queens Metropolitan High School,91.5,80,90,78,88,85,90,84,36
28Q687,Queens,28,Queens High School for the Sciences at York College,100,77,79,75,68,82,81,27,18
28Q690,Queens,28,High School for Law Enforcement and Public Safety,86.5,65,81,67,82,78,80,57,15
28Q896,Queens,28,"Young Women's Leadership School, Queens",98.6,76,81,69,81,85,85,42,48
29Q243,Queens,29,Institute for Health Professions at Cambria Heights,95.8,80,91,76,94,92,89,75,5
29Q248,Queens,29,Queens Preparatory Academy,84.1,73,73,68,74,85,74,54,15
29Q259,Queens,29,Pathways College Preparatory School: A College Board School,98.8,66,65,65,70,85,73,59,21
29Q265,Queens,29,Excelsior Preparatory High School,90.7,78,93,73,89,87,87,45,7
29Q272,Queens,29,George Washington Carver High School for the Sciences,84.5,64,79,72,78,85,83,41,11
29Q283,Queens,29,Preparatory Academy for Writers: A College Board School,93.7,71,73,66,81,89,77,60,11
29Q313,Queens,29,Benjamin Franklin High School for Finance & Information Technology,92.9,82,89,74,80,88,83,63,31
29Q326,Queens,29,Cambria Heights Academy,95.3,78,91,76,88,91,87,93,62
29Q327,Queens,29,Eagle Academy for Young Men III,97.4,65,66,66,72,90,75,76,31
29Q492,Queens,29,"Mathematics, Science Research and Technology Magnet High School",83,82,96,79,93,89,92,60,24
29Q498,Queens,29,"Health, Arts, Robotics, and Technology High School",92,77,80,81,81,96,90,2,95
30Q258,Queens,30,Energy Tech High School,97.1,76,72,80,72,88,85,73,15
30Q286,Queens,30,"Young Women's Leadership School, Astoria",100,75,75,76,70,83,81,39,33
30Q301,Queens,30,Academy for Careers in Television and Film,98.4,71,74,75,61,91,82,83,47
30Q445,Queens,30,William Cullen Bryant High School,89,71,77,70,76,89,83,68,28
30Q450,Queens,30,Long Island City High School,80,62,68,65,64,76,74,62,16
30Q501,Queens,30,Frank Sinatra School of the Arts High School,99,78,80,78,73,83,88,68,49
30Q502,Queens,30,Information Technology High School,91.7,69,80,74,82,88,86,69,30
30Q555,Queens,30,Newcomers High School,73.2,68,69,74,67,81,79,65,28
30Q575,Queens,30,Academy of American Studies,96,72,75,68,73,85,80,76,16
30Q580,Queens,30,Baccalaureate School for Global Education,97.7,76,80,74,88,81,87,74,27
31R028,Staten Island,31,The Eagle Academy for Young Men of Staten Island,75,77,81,69,86,91,81,69,41
31R047,Staten Island,31,CSI High School for International Studies,97.6,76,79,80,81,85,84,93,59
31R064,Staten Island,31,Gaynor McCown Expeditionary Learning School,97.4,80,85,77,85,85,88,46,36
31R080,Staten Island,31,The Michael J. Petrides School,97.6,80,85,69,85,92,84,72,23
31R440,Staten Island,31,New Dorp High School,90,73,82,71,79,80,85,81,34
31R445,Staten Island,31,Port Richmond High School,85,82,94,77,91,86,90,78,30
31R450,Staten Island,31,Curtis High School,82.8,72,85,69,80,81,86,66,17
31R455,Staten Island,31,Tottenville High School,95.8,79,90,71,85,80,86,77,13
31R460,Staten Island,31,Susan E. Wagner High School,90.8,74,76,69,70,78,78,74,16
31R600,Staten Island,31,Ralph R. McKee Career and Technical Education High School,84.3,78,85,76,84,85,87,39,17
31R605,Staten Island,31,Staten Island Technical High School,99.7,88,90,86,87,79,92,99,85
32K168,Brooklyn,32,The Brooklyn School for Math and Research,94.1,75,91,75,85,91,89,82,88
32K403,Brooklyn,32,Academy for Excellence in Leadership,93,67,84,77,81,89,89,69,77
32K545,Brooklyn,32,EBC High School for Public Service - Bushwick,85.2,87,86,86,89,89,91,1,6
32K549,Brooklyn,32,The Brooklyn School for Social Justice,89.2,66,66,75,66,91,83,63,55
32K552,Brooklyn,32,The Academy of Urban Planning and Engineering,94.7,82,91,76,89,86,88,84,33
32K554,Brooklyn,32,All City Leadership Secondary School,100,82,91,78,85,86,85,67,27
32K556,Brooklyn,32,Bushwick Leaders High School for Academic Excellence,89.2,68,77,70,76,90,84,69,15
